trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.5, 'e': 0.8319999999999952}",30,0,-137.60166362869938,"{0: 20, 1: 0, 2: 6, 3: 3, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.8303999999999951}",40,0,-310.9856244614484,"{0: 20, 1: 5, 2: 7, 3: 4, 4: 4}",0
107,False,"{'a': 0.5, 'e': 0.8287999999999951}",35,8,-180.09713384533887,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 3}",1
108,False,"{'a': 0.5, 'e': 0.827199999999995}",35,0,-202.23045920053806,"{0: 25, 1: 3, 2: 1, 3: 2, 4: 4}",0
109,False,"{'a': 0.5, 'e': 0.825599999999995}",30,0,-138.47914352365657,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.823999999999995}",35,0,-129.48577674366632,"{0: 23, 1: 6, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.8223999999999949}",35,0,-113.45617479319118,"{0: 24, 1: 4, 2: 4, 3: 2, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.8207999999999949}",25,0,-105.44040876990987,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.8191999999999948}",20,0,-136.11197016328654,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.8175999999999948}",30,4,-116.85982408245579,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.8159999999999947}",20,0,-182.18260406121252,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
116,False,"{'a': 0.5, 'e': 0.8143999999999947}",30,0,-21.074168695961557,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.8127999999999946}",35,0,-227.58852582638715,"{0: 21, 1: 5, 2: 3, 3: 2, 4: 4}",0
